Fecha;Hora;Lectura Barométrica Actual F(Digits);Temperatura Actual T(°C);Presión Calculada P(kPa);Presión Calculada P(kPa) Corrgida;Presión Calculada (mca);Columna1;Elevación Piezométrica (msnm);Elevación Piezométrica (msnm) Corregida;Columna2
9/1/2023;1:30:00;5658,5;21,8;183,61;;18,72;18,72;807,72;;
9/1/2023;1:30:01;5658,5;21,8;183,61;;18,72;18,72;807,72;;
9/1/2023;2:30:00;5658,2;21,7;183,56;;18,72;18,72;807,72;;
9/1/2023;3:30:00;5658,1;21,7;183,68;;18,73;18,73;807,73;;
9/1/2023;4:30:00;5658,3;21,7;183,45;;18,71;18,71;807,71;;
9/1/2023;5:30:00;5658,3;21,8;183,85;;18,75;18,75;807,75;;
9/1/2023;6:30:00;5658,1;21,8;184,08;;18,77;18,77;807,77;;
9/1/2023;7:30:00;5658,1;21,7;183,68;;18,73;18,73;807,73;;
9/1/2023;8:30:00;5658,3;21,8;183,85;;18,75;18,75;807,75;;
9/1/2023;9:30:00;5658,1;21,7;183,68;;18,73;18,73;807,73;;
9/1/2023;9:30:01;5658,1;21,7;183,68;;18,73;18,73;807,73;;
9/1/2023;10:30:00;5658,3;21,7;183,45;;18,71;18,71;807,71;;
9/1/2023;11:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
9/1/2023;12:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
9/1/2023;13:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
9/1/2023;14:30:00;5658,8;21,7;182,87;;18,65;18,65;807,65;;
9/1/2023;15:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
9/1/2023;16:30:00;5658,8;21,7;182,87;;18,65;18,65;807,65;;
9/1/2023;17:30:00;5658,7;21,7;182,98;;18,66;18,66;807,66;;
9/1/2023;17:30:01;5658,7;21,7;182,98;;18,66;18,66;807,66;;
9/1/2023;18:30:00;5658,5;21,8;183,61;;18,72;18,72;807,72;;
9/1/2023;18:30:01;5658,5;21,8;183,61;;18,72;18,72;807,72;;
9/1/2023;19:30:00;5658,4;21,7;183,33;;18,7;18,7;807,7;;
9/1/2023;21:30:00;5658,4;21,8;183,73;;18,74;18,74;807,74;;
9/1/2023;22:30:00;5658,6;21,7;183,1;;18,67;18,67;807,67;;
9/1/2023;22:30:01;5658,6;21,7;183,1;;18,67;18,67;807,67;;
9/1/2023;23:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
10/1/2023;0:30:00;5658,5;21,7;183,22;;18,68;18,68;807,68;;
